  PSU201604781 ;  11/12/2016 2:54 AM ;  11/12/2016 2:54 AM ;  Assisted the ambulance with a medical emergency ;  Health and Safety/RFA-Request for Assistance ;  Pinchot Hall ;  Closed  ;
  PSU201604780 ;  11/12/2016 2:16 AM to 3:29 AM ;  11/12/2016 2:53 AM ;  Assisted a student with a personal matter ;  Health and Safety/RFA-Request for Assistance ;  Simmons Hall ;  Closed  ;
  PSU201604779 ;  11/12/2016 2:10 AM to 2:29 AM ;  11/12/2016 2:10 AM ;  Underage student observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Public Drunkenness/Health and Safety ;  Mckean Rd ;  Open  ;
  PSU201604778 ;  11/12/2016 1:20 AM to 1:58 AM ;  11/12/2016 1:58 AM ;  Student reported a concern for another student ;  Health and Safety ;  Simmons Hall ;  Open  ;
  PSU201604777 ;  11/12/2016 1:37 AM ;  11/12/2016 1:37 AM ;  Employee reported suspicious activity ;  Suspicious Activity - Persons ;  Arl Science Park Bldg ;  Closed  ;
  PSU201604776 ;  11/12/2016 1:31 AM ;  11/12/2016 1:31 AM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Bigler Hall ;  Open  ;
  PSU201604775 ;  11/12/2016 1:16 AM to 2:14 AM ;  11/12/2016 1:30 AM ;  Underage visitor observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  Hastings Hall ;  Open  ;
  PSU201604774 ;  11/12/2016 1:00 AM to 1:28 AM ;  11/12/2016 1:29 AM ;  Underage student observed highly intoxicated ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  East Halls Bus Stop Curtin Rd ;  Open  ;
  PSU201604773 ;  11/12/2016 12:29 AM to 1:04 AM ;  11/12/2016 12:31 AM ;  Underage student observed highly intoxicated ;  Pur,Cons,Poss, Trans Intox Bev/RFA-Request for Assistance/Health and Safety ;  Simmons Hall ;  Open  ;
  PSU201604772 ;  11/12/2016 12:15 AM to 12:35 AM ;  11/12/2016 12:20 AM ;  Student observed highly intoxicated and transported to the hospital ;  Pur,Cons,Poss, Trans Intox Bev/Health and Safety/RFA-Request for Assistance ;  Jordan Hall ;  Open  ;
  PSU201604771 ;  11/11/2016 11:48 PM ;  11/11/2016 11:48 PM ;  Resident Assistant reported the odor of marijuana, origin not located ;  Possession of Small Amount of Marijuana ;  Hastings Hall ;  Open  ;
  PSU201604770 ;  11/11/2016 5:00 PM to 10:30 PM ;  11/11/2016 10:06 PM ;  Staff provided traffic control and security for the Penn State men's hockey game ;  Community Education Report ;  Pegula Ice Arena ;  Closed  ;
